"Kön","Ålder","Ålder5","Ålder10","Avdelning","Omfattning","Frånvaro","Lön","Anställning","Förtroendearbetstid","Karriaärnivå","Arbetsområde","Arbetsområde1","Personalansvar","Anställd_sedan","Anställningstid"
"man",44,"40-44","40-49","Logistik",100,0,41310,"Tillsvidare","Ja",4,10,1,NA,2003-03-25,188
"kvinna",35,"35-39","30-39","Logistik",100,0,41055,"Tillsvidare","Nej",4,10,1,NA,2011-11-29,84
"kvinna",53,"50-54","50-59","Logistik",100,0,44540,"Tillsvidare","Nej",4,10,1,NA,1993-11-23,300
"kvinna",45,"45-49","40-49","Logistik",100,100,45220,"Tillsvidare","Nej",4,10,1,NA,2001-01-31,214
"man",39,"35-39","30-39","Logistik",100,0,40205,"Tillsvidare","Ja",4,10,1,NA,2010-03-16,104
"man",36,"35-39","30-39","Logistik",100,0,41480,"Tillsvidare","Ja",4,10,1,NA,2009-08-11,111
"man",35,"35-39","30-39","Logistik",100,0,40120,"Tillsvidare","Nej",4,10,1,NA,2013-03-05,69
"man",49,"45-49","40-49","Logistik",100,0,43860,"Tillsvidare","Ja",4,10,1,NA,2013-02-19,69
"kvinna",44,"40-44","40-49","Logistik",100,0,44625,"Tillsvidare","Ja",4,10,1,NA,2013-09-25,62
"man",42,"40-44","40-49","Logistik",100,0,43775,"Tillsvidare","Ja",4,10,1,NA,2014-05-01,55
"man",40,"40-44","40-49","Logistik",100,0,43775,"Tillsvidare","Ja",4,10,1,NA,2016-06-07,29
"kvinna",42,"40-44","40-49","Logistik",100,0,39525,"Tillsvidare","Ja",4,10,1,NA,2002-10-15,193
"kvinna",38,"35-39","30-39","Logistik",100,0,40800,"Tillsvidare","Ja",4,10,1,NA,2004-12-12,167
"kvinna",54,"50-54","50-59","Logistik",100,0,44710,"Tillsvidare","Ja",4,10,1,NA,1997-07-01,257
"man",50,"50-54","50-59","Logistik",100,0,44540,"Tillsvidare","Ja",4,10,1,NA,2003-04-08,188
"man",55,"55-59","50-59","Logistik",100,0,51935,"Tillsvidare","Ja",5,10,1,NA,2007-03-01,141
"man",50,"50-54","50-59","Logistik",100,0,49725,"Tillsvidare","Ja",5,10,1,NA,2001-01-31,214
"man",49,"45-49","40-49","Logistik",100,0,48110,"Tillsvidare","Ja",5,10,1,NA,2009-05-19,114
"kvinna",53,"50-54","50-59","Logistik",100,0,51595,"Tillsvidare","Ja",5,10,1,"Nej",1996-09-11,266
