"Kön","Ålder","Ålder5","Ålder10","Avdelning","Omfattning","Frånvaro","Lön","Anställning","Förtroendearbetstid","Karriaärnivå","Arbetsområde","Arbetsområde1","Personalansvar","Anställd_sedan","Anställningstid"
"man",60,"60-64","60-","Administration",100,0,50320,"Tillsvidare","Ja",5,10,1,"Nej",1999-08-10,232
"kvinna",62,"60-64","60-","Administration",100,0,46155,"Tillsvidare","Ja",5,10,1,NA,1994-04-26,295
"man",61,"60-64","60-","Administration",100,0,49470,"Tillsvidare","Ja",5,10,1,NA,1988-12-31,359
"man",46,"45-49","40-49","Administration",100,0,45900,"Tillsvidare","Ja",5,10,1,NA,2001-08-28,207
"kvinna",62,"60-64","60-","Administration",100,0,46325,"Tillsvidare","Ja",5,10,1,NA,1976-06-08,510
"man",53,"50-54","50-59","Administration",100,0,44710,"Tillsvidare","Ja",5,10,1,NA,1987-09-15,374
"kvinna",47,"45-49","40-49","Administration",100,0,48195,"Tillsvidare","Ja",5,10,1,"Nej",1996-12-31,263
"kvinna",39,"35-39","30-39","Ledning",100,0,30855,"Tillsvidare","Nej",3,10,1,NA,2004-01-07,179
"kvinna",56,"55-59","50-59","Vaktmästeri",100,0,43350,"Tillsvidare","Nej",4,10,1,NA,2001-01-31,214
"man",55,"55-59","50-59","Vaktmästeri",100,0,48025,"Tillsvidare","Ja",5,10,1,NA,2001-02-06,214
"man",34,"30-34","30-39","Ekonomi",100,0,38250,"Tillsvidare","Nej",3,12,2,NA,2015-05-19,42
"kvinna",50,"50-54","50-59","Marknad",100,0,61710,"Tillsvidare","Ja",5,12,2,"Ja",2002-01-01,203
"kvinna",43,"40-44","40-49","Marknad",100,0,61200,"Tillsvidare","Ja",5,12,2,"Ja",2017-02-14,21
"kvinna",53,"50-54","50-59","Marknad",100,0,39950,"Tillsvidare","Nej",3,12,2,NA,2011-09-30,86
"kvinna",41,"40-44","40-49","Marknad",100,0,39355,"Tidsbegränsad","Nej",3,12,2,NA,2017-02-07,21
"kvinna",35,"35-39","30-39","Marknad",100,0,45900,"Tillsvidare","Nej",3,12,2,NA,2017-01-10,22
"kvinna",47,"45-49","40-49","Marknad",100,80.65,39355,"Tillsvidare","Nej",3,12,2,NA,2013-10-22,61
"kvinna",38,"35-39","30-39","Marknad",100,100,43860,"Tillsvidare","Ja",3,12,2,NA,2013-10-15,61
"man",37,"35-39","30-39","Marknad",100,90,46665,"Tillsvidare","Nej",3,12,2,NA,2016-05-10,30
"kvinna",37,"35-39","30-39","Marknad",100,0,39015,"Tillsvidare","Nej",3,12,2,NA,2012-12-11,71
"kvinna",38,"35-39","30-39","Marknad",100,100,41140,"Tillsvidare","Ja",4,12,2,NA,2013-01-08,70
"kvinna",47,"45-49","40-49","Marknad",100,0,45560,"Tillsvidare","Nej",4,12,2,"Nej",2010-08-01,100
"kvinna",43,"40-44","40-49","Marknad",100,0,44370,"Tillsvidare","Nej",4,12,2,NA,2004-05-04,175
"kvinna",43,"40-44","40-49","Marknad",100,0,44115,"Tillsvidare","Nej",4,12,2,NA,2002-08-06,196
"kvinna",40,"40-44","40-49","Marknad",100,100,41905,"Tillsvidare","Ja",4,12,2,NA,2012-05-15,78
"kvinna",40,"40-44","40-49","Marknad",100,0,44030,"Tillsvidare","Ja",4,12,2,NA,2011-08-30,87
"man",51,"50-54","50-59","Marknad",100,0,44710,"Tillsvidare","Ja",4,12,2,NA,2009-11-18,108
"kvinna",42,"40-44","40-49","Marknad",100,0,37230,"Tidsbegränsad","Ja",3,12,2,NA,2014-12-11,47
"man",37,"35-39","30-39","Marknad",100,0,37910,"Tidsbegränsad","Ja",3,12,2,NA,2014-11-14,48
"man",35,"35-39","30-39","Marknad",100,0,35530,"Tidsbegränsad","Ja",3,12,2,NA,2016-08-16,27
"man",35,"35-39","30-39","Marknad",100,0,37230,"Tillsvidare","Ja",3,12,2,NA,2011-11-15,84
"man",40,"40-44","40-49","Marknad",100,0,40630,"Tidsbegränsad","Ja",3,12,2,NA,2015-08-20,39
"man",36,"35-39","30-39","Marknad",100,0,35530,"Tidsbegränsad","Ja",3,12,2,NA,2016-09-30,26
"man",33,"30-34","30-39","Marknad",100,0,35530,"Tidsbegränsad","Ja",3,12,2,NA,2016-11-07,24
"kvinna",56,"55-59","50-59","Marknad",100,100,48365,"Tillsvidare","Ja",5,12,2,NA,2007-10-02,134
"man",48,"45-49","40-49","Marknad",100,0,49470,"Tillsvidare","Ja",5,12,2,"Nej",2002-08-13,195
"kvinna",47,"45-49","40-49","Marknad",100,9.68,48705,"Tillsvidare","Ja",5,12,2,NA,2005-11-01,157
"kvinna",56,"55-59","50-59","Lager",100,0,58905,"Tillsvidare","Ja",5,12,2,NA,1992-02-01,322
"man",44,"40-44","40-49","Lager",100,0,58310,"Tillsvidare","Ja",5,12,2,"Ja",2006-04-18,151
"kvinna",62,"60-64","60-","Lager",100,0,65110,"Tillsvidare","Ja",5,12,2,"Ja",1992-02-29,321
"man",46,"45-49","40-49","Lager",100,0,61285,"Tillsvidare","Ja",5,12,2,"Ja",2002-01-15,202
"kvinna",52,"50-54","50-59","Lager",100,0,56100,"Tillsvidare","Ja",5,12,2,"Nej",1996-04-13,271
"kvinna",53,"50-54","50-59","Lager",100,0,43860,"Tillsvidare","Nej",3,12,2,NA,2012-07-31,76
"kvinna",49,"45-49","40-49","Lager",100,12.9,41650,"Tillsvidare","Ja",3,12,2,NA,2016-08-23,27
"kvinna",43,"40-44","40-49","Lager",100,100,40800,"Tillsvidare","Nej",3,12,2,NA,2006-01-24,154
"kvinna",42,"40-44","40-49","Lager",100,0,35700,"Tillsvidare","Nej",3,12,2,NA,2014-08-26,51
"man",41,"40-44","40-49","Lager",100,0,40120,"Tillsvidare","Nej",3,12,2,NA,2013-08-06,64
"kvinna",39,"35-39","30-39","Lager",100,3.23,40545,"Tillsvidare","Ja",3,12,2,NA,2012-12-04,72
"kvinna",38,"35-39","30-39","Lager",100,3.23,42670,"Tillsvidare","Nej",3,12,2,NA,2010-04-14,103
"kvinna",37,"35-39","30-39","Lager",100,100,35275,"Tillsvidare","Nej",3,12,2,NA,2012-11-30,72
"man",49,"45-49","40-49","Lager",100,0,38845,"Tillsvidare","Nej",3,12,2,NA,2008-11-25,120
"kvinna",49,"45-49","40-49","Lager",100,0,43010,"Tillsvidare","Ja",3,12,2,NA,2007-02-01,142
"kvinna",45,"45-49","40-49","Lager",100,0,40205,"Tillsvidare","Nej",3,12,2,NA,2008-04-30,127
"man",42,"40-44","40-49","Lager",100,3.23,40375,"Tillsvidare","Ja",3,12,2,NA,2016-12-31,23
"man",42,"40-44","40-49","Lager",100,0,35445,"Tillsvidare","Ja",3,12,2,NA,2014-09-01,51
"kvinna",42,"40-44","40-49","Lager",100,0,40545,"Tillsvidare","Ja",3,12,2,NA,2013-11-28,60
"kvinna",40,"40-44","40-49","Lager",100,9.68,35020,"Tillsvidare","Ja",3,12,2,NA,2015-04-01,44
"kvinna",34,"30-34","30-39","Lager",100,0,33830,"Tillsvidare","Ja",3,12,2,NA,2014-06-01,54
"man",34,"30-34","30-39","Lager",100,0,38845,"Tillsvidare","Nej",3,12,2,NA,2012-09-11,74
"kvinna",31,"30-34","30-39","Lager",100,58.06,36210,"Tillsvidare","Ja",3,12,2,NA,2015-03-17,44
"kvinna",48,"45-49","40-49","Lager",100,0,40885,"Tillsvidare","Ja",4,12,2,NA,2001-12-15,203
"man",56,"55-59","50-59","Lager",100,0,42415,"Tillsvidare","Nej",4,12,2,NA,1997-09-01,255
"kvinna",50,"50-54","50-59","Lager",100,0,46155,"Tillsvidare","Nej",4,12,2,NA,2000-02-29,225
"kvinna",49,"45-49","40-49","Lager",100,0,45475,"Tillsvidare","Ja",4,12,2,NA,2007-03-10,140
"man",46,"45-49","40-49","Lager",100,0,40800,"Tillsvidare","Nej",4,12,2,NA,2003-11-01,181
"man",44,"40-44","40-49","Lager",100,0,43265,"Tillsvidare","Nej",4,12,2,NA,2007-01-16,142
"man",41,"40-44","40-49","Lager",100,0,42840,"Tillsvidare","Ja",4,12,2,NA,2008-10-28,121
"kvinna",39,"35-39","30-39","Lager",100,0,42670,"Tillsvidare","Ja",4,12,2,NA,2012-12-31,71
"man",46,"45-49","40-49","Lager",100,0,46750,"Tillsvidare","Ja",4,12,2,NA,2004-12-31,167
"man",46,"45-49","40-49","Lager",100,0,41395,"Tillsvidare","Ja",4,12,2,NA,2012-04-25,79
"kvinna",42,"40-44","40-49","Lager",100,20,43010,"Tillsvidare","Nej",4,12,2,NA,2007-05-01,139
"man",41,"40-44","40-49","Lager",100,0,41310,"Tillsvidare","Ja",4,12,2,NA,2011-09-01,87
"man",47,"45-49","40-49","Lager",100,0,43605,"Tillsvidare","Nej",4,12,2,"Nej",2009-05-01,115
"man",64,"60-64","60-","Lager",100,0,41820,"Tillsvidare","Nej",4,12,2,NA,2002-01-22,202
"man",48,"45-49","40-49","Lager",100,0,44030,"Tillsvidare","Ja",4,12,2,NA,2009-08-18,111
"kvinna",42,"40-44","40-49","Lager",100,20,40120,"Tillsvidare","Nej",4,12,2,NA,2006-03-01,153
"kvinna",41,"40-44","40-49","Lager",100,0,41990,"Tillsvidare","Ja",4,12,2,NA,2008-08-31,123
"man",42,"40-44","40-49","Lager",100,0,37485,"Tidsbegränsad","Ja",3,12,2,NA,2014-08-29,51
"kvinna",42,"40-44","40-49","Lager",100,0,35530,"Tidsbegränsad","Ja",3,12,2,NA,2016-11-01,25
"kvinna",39,"35-39","30-39","Lager",100,0,35530,"Tidsbegränsad","Ja",3,12,2,NA,2016-11-17,24
"kvinna",37,"35-39","30-39","Lager",100,3.23,37145,"Tidsbegränsad","Ja",3,12,2,NA,2015-01-13,46
"man",35,"35-39","30-39","Lager",100,0,35530,"Tidsbegränsad","Ja",3,12,2,NA,2016-09-16,26
"kvinna",33,"30-34","30-39","Lager",100,0,37145,"Tidsbegränsad","Ja",3,12,2,NA,2015-03-01,45
"kvinna",39,"35-39","30-39","Lager",100,100,37400,"Tidsbegränsad","Ja",3,12,2,NA,2016-08-16,27
"kvinna",39,"35-39","30-39","Lager",100,3.23,39865,"Tidsbegränsad","Ja",3,12,2,NA,2013-06-25,65
"man",38,"35-39","30-39","Lager",100,6.45,36210,"Tidsbegränsad","Ja",3,12,2,NA,2016-03-08,32
"kvinna",38,"35-39","30-39","Lager",100,9.68,37230,"Tidsbegränsad","Ja",3,12,2,NA,2015-03-24,44
"kvinna",41,"40-44","40-49","Lager",100,0,40885,"Tidsbegränsad","Ja",3,12,2,NA,2014-05-01,55
"man",39,"35-39","30-39","Lager",100,0,40630,"Tidsbegränsad","Ja",3,12,2,NA,2013-03-01,69
"kvinna",57,"55-59","50-59","Lager",100,0,43775,"Tillsvidare","Ja",5,12,2,NA,1994-06-21,293
"kvinna",53,"50-54","50-59","Lager",100,100,47685,"Tillsvidare","Ja",5,12,2,"Nej",2006-02-01,154
"man",49,"45-49","40-49","Lager",100,0,50320,"Tillsvidare","Ja",5,12,2,"Nej",2003-03-11,188
"kvinna",58,"55-59","50-59","Lager",100,0,50660,"Tillsvidare","Ja",5,12,2,NA,1993-01-31,310
"kvinna",63,"60-64","60-","Lager",100,12.9,51510,"Tillsvidare","Ja",5,12,2,"Nej",1989-11-14,348
"man",52,"50-54","50-59","Lager",100,0,49300,"Tillsvidare","Ja",5,12,2,"Nej",1999-10-01,230
"man",71,"65-","60-","Lager",50,0,44115,"Tidsbegränsad","Ja",5,12,2,NA,1982-09-14,434
"kvinna",48,"45-49","40-49","Lager",100,6.45,48960,"Tillsvidare","Ja",5,12,2,NA,2008-08-31,123
"man",45,"45-49","40-49","Lager",100,0,48110,"Tillsvidare","Ja",5,12,2,"Nej",2006-09-01,147
"kvinna",47,"45-49","40-49","Administration",100,0,57970,"Tillsvidare","Ja",5,12,2,"Ja",2003-01-07,191
"kvinna",57,"55-59","50-59","Administration",100,0,52275,"Tillsvidare","Ja",5,12,2,NA,1995-01-01,287
"kvinna",33,"30-34","30-39","Administration",100,9.68,31450,"Tidsbegränsad","Ja",3,12,2,NA,2016-10-18,25
"kvinna",33,"30-34","30-39","Administration",100,0,35785,"Tillsvidare","Nej",3,12,2,NA,2013-05-01,67
"kvinna",48,"45-49","40-49","Administration",100,0,40375,"Tillsvidare","Ja",3,12,2,NA,2014-04-08,55
"kvinna",38,"35-39","30-39","Administration",100,0,39355,"Tillsvidare","Ja",3,12,2,NA,2015-09-01,39
"kvinna",37,"35-39","30-39","Administration",100,0,34000,"Tidsbegränsad","Nej",3,12,2,NA,2016-10-31,25
"kvinna",55,"55-59","50-59","Administration",100,0,40800,"Tillsvidare","Nej",3,12,2,NA,2001-12-04,204
"man",40,"40-44","40-49","Administration",100,0,34850,"Tidsbegränsad","Ja",3,12,2,NA,2016-11-18,24
"man",67,"65-","60-","Administration",100,0,45985,"Tillsvidare","Nej",4,12,2,NA,2002-09-01,195
"kvinna",53,"50-54","50-59","Administration",100,0,41905,"Tillsvidare","Ja",4,12,2,NA,2006-08-22,147
"kvinna",52,"50-54","50-59","Administration",100,0,47600,"Tillsvidare","Ja",4,12,2,NA,2002-03-05,201
"man",46,"45-49","40-49","Administration",100,100,50150,"Tillsvidare","Ja",4,12,2,NA,2013-10-22,61
"kvinna",46,"45-49","40-49","Administration",100,0,45475,"Tillsvidare","Ja",4,12,2,NA,2013-01-15,70
"man",40,"40-44","40-49","Administration",100,0,39865,"Tillsvidare","Ja",4,12,2,NA,2010-08-10,99
"man",50,"50-54","50-59","Administration",100,0,39397.5,"Tillsvidare","Ja",4,12,2,NA,2013-03-01,69
"kvinna",50,"50-54","50-59","Administration",100,10,41055,"Tillsvidare","Ja",4,12,2,NA,2007-08-15,135
"kvinna",44,"40-44","40-49","Administration",100,0,43180,"Tillsvidare","Ja",4,12,2,NA,2005-02-22,165
"kvinna",41,"40-44","40-49","Administration",100,27.42,39440,"Tidsbegränsad","Ja",3,12,2,NA,2013-10-15,61
"man",35,"35-39","30-39","Administration",100,0,39015,"Tidsbegränsad","Ja",3,12,2,NA,2014-04-15,55
"kvinna",34,"30-34","30-39","Administration",100,0,37145,"Tidsbegränsad","Ja",3,12,2,NA,2016-05-03,31
"man",44,"40-44","40-49","Administration",100,0,43350,"Tidsbegränsad","Ja",3,12,2,NA,2010-09-01,99
"kvinna",39,"35-39","30-39","Administration",100,6.45,38420,"Tidsbegränsad","Ja",3,12,2,NA,2015-01-06,46
"man",42,"40-44","40-49","Administration",100,0,42797.5,"Tidsbegränsad","Ja",3,12,2,NA,2014-12-02,48
"kvinna",52,"50-54","50-59","Administration",100,0,48620,"Tillsvidare","Ja",5,12,2,NA,2011-08-16,87
"man",39,"35-39","30-39","Ledning",100,0,55675,"Tillsvidare","Ja",5,12,2,"Nej",2009-01-31,118
"man",39,"35-39","30-39","Ledning",100,0,41650,"Tillsvidare","Ja",4,12,2,NA,2013-06-01,66
"man",35,"35-39","30-39","Ledning",100,0,41225,"Tillsvidare","Ja",4,12,2,NA,2007-01-01,143
"kvinna",39,"35-39","30-39","Ledning",100,0,41055,"Tidsbegränsad","Ja",3,12,2,NA,2014-06-24,53
"kvinna",37,"35-39","30-39","Ledning",100,100,39015,"Tidsbegränsad","Ja",3,12,2,NA,2013-04-01,68
"kvinna",36,"35-39","30-39","Ledning",100,6.45,38505,"Tidsbegränsad","Ja",3,12,2,NA,2010-04-01,104
"kvinna",34,"30-34","30-39","Ledning",100,96.77,36210,"Tidsbegränsad","Ja",3,12,2,NA,2016-04-19,31
"kvinna",33,"30-34","30-39","Ledning",100,19.35,37060,"Tidsbegränsad","Ja",3,12,2,NA,2015-09-15,38
"kvinna",63,"60-64","60-","Administration",100,40,44370,"Tillsvidare","Ja",5,22,2,NA,1992-06-30,317
"man",42,"40-44","40-49","Kommunikation",100,20,29155,"Tillsvidare","Nej",3,44,2,NA,2013-09-10,62
"man",51,"50-54","50-59","Ekonomi",100,0,31450,"Tillsvidare","Nej",3,46,3,NA,1996-11-07,265
"man",44,"40-44","40-49","Ekonomi",100,0,37910,"Tillsvidare","Nej",3,46,3,NA,2003-04-29,187
"man",41,"40-44","40-49","Ekonomi",100,0,31025,"Tillsvidare","Nej",3,46,3,NA,2003-03-01,189
"man",48,"45-49","40-49","Ekonomi",100,0,43605,"Tillsvidare","Nej",4,46,3,NA,2007-12-04,132
"kvinna",59,"55-59","50-59","Vaktmästeri",100,0,26605,"Tillsvidare","Nej",2,46,3,NA,1998-03-10,249
"kvinna",53,"50-54","50-59","Vaktmästeri",100,0,60350,"Tillsvidare","Ja",5,47,3,"Ja",2000-10-06,218
"kvinna",48,"45-49","40-49","Vaktmästeri",100,0,33065,"Tillsvidare","Ja",3,47,3,NA,1993-09-21,302
"man",47,"45-49","40-49","Vaktmästeri",100,0,37995,"Tillsvidare","Ja",3,47,3,NA,2008-11-30,120
"kvinna",41,"40-44","40-49","Vaktmästeri",100,1.61,28220,"Tillsvidare","Nej",3,47,3,NA,2013-09-05,63
"kvinna",37,"35-39","30-39","Vaktmästeri",100,10,38505,"Tillsvidare","Ja",3,47,3,NA,2015-05-12,42
"kvinna",32,"30-34","30-39","Vaktmästeri",100,0,29835,"Tillsvidare","Ja",3,47,3,NA,2015-06-01,42
"kvinna",55,"55-59","50-59","Vaktmästeri",100,0,37400,"Tillsvidare","Ja",3,47,3,NA,1988-07-05,365
"kvinna",37,"35-39","30-39","Vaktmästeri",100,0,40715,"Tillsvidare","Ja",4,47,3,NA,2014-01-01,59
"kvinna",50,"50-54","50-59","Ekonomi",100,0,32300,"Tillsvidare","Nej",3,48,3,NA,1997-07-01,257
"kvinna",52,"50-54","50-59","Vaktmästeri",100,37.1,59925,"Tillsvidare","Ja",5,48,3,"Ja",2002-12-03,192
"kvinna",51,"50-54","50-59","Vaktmästeri",100,0,36550,"Tillsvidare","Ja",3,48,3,NA,2000-05-09,223
"kvinna",53,"50-54","50-59","Vaktmästeri",100,0,41820,"Tillsvidare","Nej",4,48,3,NA,1998-12-01,240
"kvinna",51,"50-54","50-59","Vaktmästeri",100,50,24310,"Tillsvidare","Nej",2,48,3,NA,2000-07-11,220
"kvinna",51,"50-54","50-59","Kommunikation",100,0,60690,"Tillsvidare","Ja",5,49,3,"Ja",2009-08-04,112
"kvinna",57,"55-59","50-59","Kommunikation",100,0,33915,"Tillsvidare","Nej",3,49,3,NA,2010-05-01,103
"kvinna",50,"50-54","50-59","Kommunikation",100,25,27030,"Tillsvidare","Nej",3,49,3,NA,1996-08-14,267
"kvinna",39,"35-39","30-39","Kommunikation",100,75.81,34085,"Tillsvidare","Nej",3,49,3,NA,2013-08-06,64
"man",27,"25-29","-29","Kommunikation",100,0,26350,"Tillsvidare","Nej",3,49,3,NA,2016-08-09,27
"kvinna",50,"50-54","50-59","Kommunikation",100,25,38420,"Tillsvidare","Ja",4,49,3,NA,1998-02-10,249
"kvinna",49,"45-49","40-49","Kommunikation",100,0,36465,"Tillsvidare","Ja",4,49,3,NA,2001-10-09,206
"kvinna",43,"40-44","40-49","Kommunikation",100,0,37315,"Tillsvidare","Ja",4,49,3,NA,2003-03-04,189
"kvinna",40,"40-44","40-49","Logistik",100,0,22525,"Tidsbegränsad","Nej",1,53,4,NA,2015-08-04,40
"kvinna",51,"50-54","50-59","Logistik",100,44.35,24225,"Tillsvidare","Nej",1,53,4,NA,2013-12-10,59
"kvinna",33,"30-34","30-39","Logistik",100,0,27625,"Tillsvidare","Nej",1,53,4,NA,2016-11-22,24
"man",32,"30-34","30-39","Logistik",100,0,27625,"Tidsbegränsad","Nej",1,53,4,NA,2016-11-30,24
"kvinna",51,"50-54","50-59","Logistik",100,0,27455,"Tillsvidare","Nej",2,53,4,NA,2002-08-13,195
"kvinna",64,"60-64","60-","Ekonomi",100,6.45,25245,"Tillsvidare","Nej",1,53,4,NA,1990-03-01,345
"kvinna",48,"45-49","40-49","Ekonomi",100,0,26010,"Tillsvidare","Nej",2,53,4,NA,2015-01-07,46
"kvinna",41,"40-44","40-49","Marknad",100,0,22950,"Tillsvidare","Nej",1,53,4,NA,2016-08-31,27
"kvinna",45,"45-49","40-49","Marknad",100,6.45,29665,"Tillsvidare","Nej",2,53,4,NA,2013-01-31,70
"kvinna",41,"40-44","40-49","Produktion",100,0,26775,"Tillsvidare","Nej",1,53,4,NA,2017-03-29,20
"kvinna",40,"40-44","40-49","Produktion",100,0,24905,"Tillsvidare","Nej",1,53,4,NA,2016-08-16,27
"kvinna",59,"55-59","50-59","Produktion",100,0,25245,"Tillsvidare","Nej",2,53,4,NA,1978-04-12,488
"kvinna",48,"45-49","40-49","Produktion",100,75,24650,"Tillsvidare","Nej",2,53,4,NA,1990-03-01,345
"kvinna",60,"60-64","60-","Lager",100,0,26350,"Tillsvidare","Nej",1,53,4,NA,1985-11-01,397
"kvinna",54,"50-54","50-59","Lager",100,0,24055,"Tillsvidare","Nej",1,53,4,NA,1981-02-03,454
"kvinna",57,"55-59","50-59","Lager",100,100,18275,"Tillsvidare","Nej",1,53,4,NA,1978-08-29,483
"kvinna",56,"55-59","50-59","Lager",100,0,31450,"Tillsvidare","Nej",2,53,4,NA,1997-10-01,254
"kvinna",47,"45-49","40-49","Lager",100,0,26435,"Tillsvidare","Nej",2,53,4,NA,2004-05-04,175
"kvinna",47,"45-49","40-49","Lager",100,0,26520,"Tillsvidare","Nej",2,53,4,NA,1999-03-01,237
"kvinna",40,"40-44","40-49","Administration",100,0,21080,"Tillsvidare","Nej",1,53,4,NA,2013-10-15,61
"kvinna",64,"60-64","60-","Administration",100,19.35,22907.5,"Tillsvidare","Nej",1,53,4,NA,2013-01-08,70
"kvinna",49,"45-49","40-49","Administration",100,0,27710,"Tillsvidare","Nej",2,53,4,NA,1999-09-21,230
"kvinna",65,"65-","60-","Administration",100,0,25245,"Tillsvidare","Nej",2,53,4,NA,1976-03-16,513
"kvinna",65,"65-","60-","Administration",100,0,27030,"Tillsvidare","Nej",2,53,4,NA,1995-10-01,278
"kvinna",56,"55-59","50-59","Ledning",100,25,31790,"Tillsvidare","Ja",3,53,4,NA,1988-01-19,370
"kvinna",55,"55-59","50-59","Ledning",100,0,27455,"Tillsvidare","Nej",2,53,4,NA,1986-10-07,386
"kvinna",52,"50-54","50-59","Ledning",100,9.68,26520,"Tillsvidare","Nej",2,53,4,NA,2013-01-08,70
"kvinna",52,"50-54","50-59","Ledning",100,50,19805,"Tillsvidare","Nej",2,53,4,NA,1999-09-15,230
"man",50,"50-54","50-59","Ledning",100,0,24140,"Tillsvidare","Nej",2,53,4,NA,2002-04-05,200
"kvinna",51,"50-54","50-59","Kommunikation",100,0,27285,"Tillsvidare","Nej",2,53,4,NA,2003-08-01,184
"man",53,"50-54","50-59","Vaktmästeri",100,75,25840,"Tillsvidare","Nej",3,53,4,NA,1997-08-26,255
"kvinna",39,"35-39","30-39","Vaktmästeri",100,3.23,27200,"Tillsvidare","Nej",2,53,4,NA,2014-12-05,48
"kvinna",59,"55-59","50-59","Vaktmästeri",100,0,28050,"Tillsvidare","Nej",2,53,4,NA,2006-04-04,152
"kvinna",48,"45-49","40-49","Vaktmästeri",100,100,26010,"Tillsvidare","Nej",2,53,4,NA,2006-03-01,153
"man",48,"45-49","40-49","Vaktmästeri",100,0,29240,"Tillsvidare","Nej",3,72,4,NA,1997-11-04,253
"kvinna",28,"25-29","-29","Logistik",100,100,19720,"Tillsvidare","Nej",1,80,5,NA,2010-12-01,96
"man",48,"45-49","40-49","Logistik",100,100,52445,"Tillsvidare","Ja",5,80,5,NA,2005-03-01,165
"man",45,"45-49","40-49","Logistik",100,100,28305,"Tillsvidare","Nej",3,80,5,NA,1999-11-23,228
"kvinna",32,"30-34","30-39","Logistik",100,100,36550,"Tillsvidare","Nej",3,80,5,NA,2013-11-12,60
"man",37,"35-39","30-39","Logistik",100,100,48110,"Tillsvidare","Ja",3,80,5,NA,2005-06-21,161
"kvinna",33,"30-34","30-39","Logistik",100,100,35105,"Tillsvidare","Ja",3,80,5,NA,2013-01-10,70
"kvinna",41,"40-44","40-49","Logistik",100,100,38590,"Tillsvidare","Ja",3,80,5,NA,2011-08-09,87
"man",32,"30-34","30-39","Logistik",100,0,23800,"Tidsbegränsad","Nej",3,80,5,NA,2017-01-19,22
"kvinna",53,"50-54","50-59","Logistik",100,100,26265,"Tillsvidare","Nej",2,80,5,NA,1983-06-21,425
"man",67,"65-","60-","Ekonomi",100,88.39,58650,"Tillsvidare","Ja",5,80,5,NA,1985-03-15,404
"man",26,"25-29","-29","Ekonomi",100,0,26350,"Tillsvidare","Nej",3,80,5,NA,2016-06-14,29
"kvinna",46,"45-49","40-49","Marknad",100,100,42585,"Tillsvidare","Nej",3,80,5,NA,2009-10-06,110
"man",58,"55-59","50-59","Produktion",100,100,51170,"Tillsvidare","Ja",5,80,5,NA,1994-05-01,295
"man",32,"30-34","30-39","Produktion",100,100,28730,"Tillsvidare","Nej",3,80,5,NA,2012-07-03,77
"man",36,"35-39","30-39","Produktion",100,0,39100,"Tillsvidare","Ja",4,80,5,NA,2008-07-15,124
"kvinna",40,"40-44","40-49","Produktion",100,100,45645,"Tillsvidare","Ja",5,80,5,NA,2002-01-10,202
"man",48,"45-49","40-49","Produktion",100,100,47005,"Tillsvidare","Ja",5,80,5,NA,1999-08-31,231
"man",67,"65-","60-","Lager",100,100,40630,"Tillsvidare","Ja",5,80,5,NA,1982-03-23,440
"man",42,"40-44","40-49","Lager",100,100,34425,"Tillsvidare","Nej",4,80,5,NA,2003-11-04,181
"man",40,"40-44","40-49","Administration",100,100,29325,"Tillsvidare","Nej",3,80,5,NA,2007-09-01,135
"kvinna",52,"50-54","50-59","Administration",100,100,39440,"Tillsvidare","Ja",4,80,5,NA,2003-08-05,184
"kvinna",63,"60-64","60-","Administration",100,0,24310,"Tillsvidare","Ja",2,80,5,NA,1989-11-01,349
"man",45,"45-49","40-49","Administration",100,100,46155,"Tillsvidare","Ja",5,80,5,NA,2008-11-30,120
