Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
man;49;45-49;40-49;Logistik;100;0;43860;Tillsvidare;Ja;4;10;1;;2013-02-19
kvinna;44;40-44;40-49;Logistik;100;0;44625;Tillsvidare;Ja;4;10;1;;2013-09-25
man;42;40-44;40-49;Logistik;100;0;43775;Tillsvidare;Ja;4;10;1;;2014-05-01
man;40;40-44;40-49;Logistik;100;0;43775;Tillsvidare;Ja;4;10;1;;2016-06-07
kvinna;42;40-44;40-49;Logistik;100;0;39525;Tillsvidare;Ja;4;10;1;;2002-10-15
kvinna;38;35-39;30-39;Logistik;100;0;40800;Tillsvidare;Ja;4;10;1;;2004-12-12
kvinna;54;50-54;50-59;Logistik;100;0;44710;Tillsvidare;Ja;4;10;1;;1997-07-01
man;50;50-54;50-59;Logistik;100;0;44540;Tillsvidare;Ja;4;10;1;;2003-04-08
man;55;55-59;50-59;Logistik;100;0;51935;Tillsvidare;Ja;5;10;1;;2007-03-01
man;50;50-54;50-59;Logistik;100;0;49725;Tillsvidare;Ja;5;10;1;;2001-01-31
man;49;45-49;40-49;Logistik;100;0;48110;Tillsvidare;Ja;5;10;1;;2009-05-19
kvinna;53;50-54;50-59;Logistik;100;0;51595;Tillsvidare;Ja;5;10;1;Nej;1996-09-11
man;53;50-54;50-59;Logistik;100;0;48875;Tillsvidare;Ja;5;10;1;;1993-02-16
man;57;55-59;50-59;Logistik;100;0;52020;Tillsvidare;Ja;5;10;1;;1993-09-01
kvinna;49;45-49;40-49;Logistik;100;0;47515;Tillsvidare;Ja;5;10;1;;2003-09-01
kvinna;52;50-54;50-59;Logistik;100;20;50915;Tillsvidare;Ja;5;10;1;;1996-07-31
man;54;50-54;50-59;Logistik;100;0;49300;Tillsvidare;Ja;5;10;1;;1990-08-28
kvinna;49;45-49;40-49;Logistik;100;0;47515;Tillsvidare;Ja;5;10;1;;1998-03-01
man;52;50-54;50-59;Logistik;100;0;47685;Tillsvidare;Ja;5;10;1;;1997-08-26
kvinna;41;40-44;40-49;Logistik;100;0;48450;Tillsvidare;Ja;5;10;1;;2004-01-15
man;40;40-44;40-49;Ekonomi;100;0;56950;Tillsvidare;Ja;5;10;1;;2014-01-07
man;49;45-49;40-49;Ekonomi;100;0;60520;Tillsvidare;Ja;5;10;1;Ja;2002-12-03
man;39;35-39;30-39;Ekonomi;100;0;58905;Tillsvidare;Ja;5;10;1;Ja;2005-02-04
kvinna;52;50-54;50-59;Ekonomi;100;0;57375;Tillsvidare;Ja;5;10;1;Nej;2007-01-16
man;39;35-39;30-39;Ekonomi;100;0;43223;Tillsvidare;Ja;3;10;1;;2014-05-06
kvinna;38;35-39;30-39;Ekonomi;100;0;46495;Tillsvidare;Ja;3;10;1;;2015-09-01
man;38;35-39;30-39;Ekonomi;100;0;39525;Tillsvidare;Ja;3;10;1;;2014-07-18
kvinna;32;30-34;30-39;Ekonomi;100;0;32300;Tillsvidare;Nej;3;10;1;;2013-04-18
kvinna;31;30-34;30-39;Ekonomi;100;0;30600;Tillsvidare;Nej;3;10;1;;2014-02-18
man;30;30-34;30-39;Ekonomi;100;0;29665;Tillsvidare;Nej;3;10;1;;2013-06-07
kvinna;55;55-59;50-59;Ekonomi;100;0;34425;Tillsvidare;Nej;3;10;1;;1981-09-29
kvinna;45;45-49;40-49;Ekonomi;100;20;39950;Tillsvidare;Ja;3;10;1;;2015-01-07
