Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
man;35;35-39;30-39;Marknad;100;0;35530;Tidsbegränsad;Ja;3;12;2;;2016-08-16
man;35;35-39;30-39;Marknad;100;0;37230;Tillsvidare;Ja;3;12;2;;2011-11-15
man;40;40-44;40-49;Marknad;100;0;40630;Tidsbegränsad;Ja;3;12;2;;2015-08-20
man;36;35-39;30-39;Marknad;100;0;35530;Tidsbegränsad;Ja;3;12;2;;2016-09-30
man;33;30-34;30-39;Marknad;100;0;35530;Tidsbegränsad;Ja;3;12;2;;2016-11-07
kvinna;56;55-59;50-59;Marknad;100;100;48365;Tillsvidare;Ja;5;12;2;;2007-10-02
man;48;45-49;40-49;Marknad;100;0;49470;Tillsvidare;Ja;5;12;2;Nej;2002-08-13
kvinna;47;45-49;40-49;Marknad;100;10;48705;Tillsvidare;Ja;5;12;2;;2005-11-01
kvinna;56;55-59;50-59;Lager;100;0;58905;Tillsvidare;Ja;5;12;2;;1992-02-01
man;44;40-44;40-49;Lager;100;0;58310;Tillsvidare;Ja;5;12;2;Ja;2006-04-18
kvinna;62;60-64;60-;Lager;100;0;65110;Tillsvidare;Ja;5;12;2;Ja;1992-02-29
man;46;45-49;40-49;Lager;100;0;61285;Tillsvidare;Ja;5;12;2;Ja;2002-01-15
kvinna;52;50-54;50-59;Lager;100;0;56100;Tillsvidare;Ja;5;12;2;Nej;1996-04-13
kvinna;53;50-54;50-59;Lager;100;0;43860;Tillsvidare;Nej;3;12;2;;2012-07-31
kvinna;49;45-49;40-49;Lager;100;13;41650;Tillsvidare;Ja;3;12;2;;2016-08-23
kvinna;43;40-44;40-49;Lager;100;100;40800;Tillsvidare;Nej;3;12;2;;2006-01-24
kvinna;42;40-44;40-49;Lager;100;0;35700;Tillsvidare;Nej;3;12;2;;2014-08-26
man;41;40-44;40-49;Lager;100;0;40120;Tillsvidare;Nej;3;12;2;;2013-08-06
kvinna;39;35-39;30-39;Lager;100;3;40545;Tillsvidare;Ja;3;12;2;;2012-12-04
kvinna;38;35-39;30-39;Lager;100;3;42670;Tillsvidare;Nej;3;12;2;;2010-04-14
kvinna;37;35-39;30-39;Lager;100;100;35275;Tillsvidare;Nej;3;12;2;;2012-11-30
man;49;45-49;40-49;Lager;100;0;38845;Tillsvidare;Nej;3;12;2;;2008-11-25
kvinna;49;45-49;40-49;Lager;100;0;43010;Tillsvidare;Ja;3;12;2;;2007-02-01
kvinna;45;45-49;40-49;Lager;100;0;40205;Tillsvidare;Nej;3;12;2;;2008-04-30
man;42;40-44;40-49;Lager;100;3;40375;Tillsvidare;Ja;3;12;2;;2016-12-31
man;42;40-44;40-49;Lager;100;0;35445;Tillsvidare;Ja;3;12;2;;2014-09-01
kvinna;42;40-44;40-49;Lager;100;0;40545;Tillsvidare;Ja;3;12;2;;2013-11-28
kvinna;40;40-44;40-49;Lager;100;10;35020;Tillsvidare;Ja;3;12;2;;2015-04-01
kvinna;34;30-34;30-39;Lager;100;0;33830;Tillsvidare;Ja;3;12;2;;2014-06-01
man;34;30-34;30-39;Lager;100;0;38845;Tillsvidare;Nej;3;12;2;;2012-09-11
kvinna;31;30-34;30-39;Lager;100;58;36210;Tillsvidare;Ja;3;12;2;;2015-03-17
kvinna;48;45-49;40-49;Lager;100;0;40885;Tillsvidare;Ja;4;12;2;;2001-12-15
man;56;55-59;50-59;Lager;100;0;42415;Tillsvidare;Nej;4;12;2;;1997-09-01
kvinna;50;50-54;50-59;Lager;100;0;46155;Tillsvidare;Nej;4;12;2;;2000-02-29
kvinna;49;45-49;40-49;Lager;100;0;45475;Tillsvidare;Ja;4;12;2;;2007-03-10
man;46;45-49;40-49;Lager;100;0;40800;Tillsvidare;Nej;4;12;2;;2003-11-01
man;44;40-44;40-49;Lager;100;0;43265;Tillsvidare;Nej;4;12;2;;2007-01-16
man;41;40-44;40-49;Lager;100;0;42840;Tillsvidare;Ja;4;12;2;;2008-10-28
kvinna;39;35-39;30-39;Lager;100;0;42670;Tillsvidare;Ja;4;12;2;;2012-12-31
man;46;45-49;40-49;Lager;100;0;46750;Tillsvidare;Ja;4;12;2;;2004-12-31
man;46;45-49;40-49;Lager;100;0;41395;Tillsvidare;Ja;4;12;2;;2012-04-25
kvinna;42;40-44;40-49;Lager;100;20;43010;Tillsvidare;Nej;4;12;2;;2007-05-01
man;41;40-44;40-49;Lager;100;0;41310;Tillsvidare;Ja;4;12;2;;2011-09-01
man;47;45-49;40-49;Lager;100;0;43605;Tillsvidare;Nej;4;12;2;Nej;2009-05-01
man;64;60-64;60-;Lager;100;0;41820;Tillsvidare;Nej;4;12;2;;2002-01-22
man;48;45-49;40-49;Lager;100;0;44030;Tillsvidare;Ja;4;12;2;;2009-08-18
kvinna;42;40-44;40-49;Lager;100;20;40120;Tillsvidare;Nej;4;12;2;;2006-03-01
kvinna;41;40-44;40-49;Lager;100;0;41990;Tillsvidare;Ja;4;12;2;;2008-08-31
man;42;40-44;40-49;Lager;100;0;37485;Tidsbegränsad;Ja;3;12;2;;2014-08-29
kvinna;42;40-44;40-49;Lager;100;0;35530;Tidsbegränsad;Ja;3;12;2;;2016-11-01
kvinna;39;35-39;30-39;Lager;100;0;35530;Tidsbegränsad;Ja;3;12;2;;2016-11-17
kvinna;37;35-39;30-39;Lager;100;3;37145;Tidsbegränsad;Ja;3;12;2;;2015-01-13
man;35;35-39;30-39;Lager;100;0;35530;Tidsbegränsad;Ja;3;12;2;;2016-09-16
kvinna;33;30-34;30-39;Lager;100;0;37145;Tidsbegränsad;Ja;3;12;2;;2015-03-01
kvinna;39;35-39;30-39;Lager;100;100;37400;Tidsbegränsad;Ja;3;12;2;;2016-08-16
kvinna;39;35-39;30-39;Lager;100;3;39865;Tidsbegränsad;Ja;3;12;2;;2013-06-25
man;38;35-39;30-39;Lager;100;6;36210;Tidsbegränsad;Ja;3;12;2;;2016-03-08
kvinna;38;35-39;30-39;Lager;100;10;37230;Tidsbegränsad;Ja;3;12;2;;2015-03-24
kvinna;41;40-44;40-49;Lager;100;0;40885;Tidsbegränsad;Ja;3;12;2;;2014-05-01
man;39;35-39;30-39;Lager;100;0;40630;Tidsbegränsad;Ja;3;12;2;;2013-03-01
kvinna;57;55-59;50-59;Lager;100;0;43775;Tillsvidare;Ja;5;12;2;;1994-06-21
kvinna;53;50-54;50-59;Lager;100;100;47685;Tillsvidare;Ja;5;12;2;Nej;2006-02-01
man;49;45-49;40-49;Lager;100;0;50320;Tillsvidare;Ja;5;12;2;Nej;2003-03-11
kvinna;58;55-59;50-59;Lager;100;0;50660;Tillsvidare;Ja;5;12;2;;1993-01-31
kvinna;63;60-64;60-;Lager;100;13;51510;Tillsvidare;Ja;5;12;2;Nej;1989-11-14
man;52;50-54;50-59;Lager;100;0;49300;Tillsvidare;Ja;5;12;2;Nej;1999-10-01
man;71;65-;60-;Lager;50;0;44115;Tidsbegränsad;Ja;5;12;2;;1982-09-14
kvinna;48;45-49;40-49;Lager;100;6;48960;Tillsvidare;Ja;5;12;2;;2008-08-31
man;45;45-49;40-49;Lager;100;0;48110;Tillsvidare;Ja;5;12;2;Nej;2006-09-01
kvinna;47;45-49;40-49;Administration;100;0;57970;Tillsvidare;Ja;5;12;2;Ja;2003-01-07
kvinna;57;55-59;50-59;Administration;100;0;52275;Tillsvidare;Ja;5;12;2;;1995-01-01
kvinna;33;30-34;30-39;Administration;100;10;31450;Tidsbegränsad;Ja;3;12;2;;2016-10-18
kvinna;33;30-34;30-39;Administration;100;0;35785;Tillsvidare;Nej;3;12;2;;2013-05-01
kvinna;48;45-49;40-49;Administration;100;0;40375;Tillsvidare;Ja;3;12;2;;2014-04-08
kvinna;38;35-39;30-39;Administration;100;0;39355;Tillsvidare;Ja;3;12;2;;2015-09-01
kvinna;37;35-39;30-39;Administration;100;0;34000;Tidsbegränsad;Nej;3;12;2;;2016-10-31
kvinna;55;55-59;50-59;Administration;100;0;40800;Tillsvidare;Nej;3;12;2;;2001-12-04
man;40;40-44;40-49;Administration;100;0;34850;Tidsbegränsad;Ja;3;12;2;;2016-11-18
man;67;65-;60-;Administration;100;0;45985;Tillsvidare;Nej;4;12;2;;2002-09-01
kvinna;53;50-54;50-59;Administration;100;0;41905;Tillsvidare;Ja;4;12;2;;2006-08-22
kvinna;52;50-54;50-59;Administration;100;0;47600;Tillsvidare;Ja;4;12;2;;2002-03-05
man;46;45-49;40-49;Administration;100;100;50150;Tillsvidare;Ja;4;12;2;;2013-10-22
kvinna;46;45-49;40-49;Administration;100;0;45475;Tillsvidare;Ja;4;12;2;;2013-01-15
man;40;40-44;40-49;Administration;100;0;39865;Tillsvidare;Ja;4;12;2;;2010-08-10
man;50;50-54;50-59;Administration;100;0;39398;Tillsvidare;Ja;4;12;2;;2013-03-01
kvinna;50;50-54;50-59;Administration;100;10;41055;Tillsvidare;Ja;4;12;2;;2007-08-15
kvinna;44;40-44;40-49;Administration;100;0;43180;Tillsvidare;Ja;4;12;2;;2005-02-22
kvinna;41;40-44;40-49;Administration;100;27;39440;Tidsbegränsad;Ja;3;12;2;;2013-10-15
man;35;35-39;30-39;Administration;100;0;39015;Tidsbegränsad;Ja;3;12;2;;2014-04-15
kvinna;34;30-34;30-39;Administration;100;0;37145;Tidsbegränsad;Ja;3;12;2;;2016-05-03
man;44;40-44;40-49;Administration;100;0;43350;Tidsbegränsad;Ja;3;12;2;;2010-09-01
kvinna;39;35-39;30-39;Administration;100;6;38420;Tidsbegränsad;Ja;3;12;2;;2015-01-06
man;42;40-44;40-49;Administration;100;0;42798;Tidsbegränsad;Ja;3;12;2;;2014-12-02
kvinna;52;50-54;50-59;Administration;100;0;48620;Tillsvidare;Ja;5;12;2;;2011-08-16
man;39;35-39;30-39;Ledning;100;0;55675;Tillsvidare;Ja;5;12;2;Nej;2009-01-31
man;39;35-39;30-39;Ledning;100;0;41650;Tillsvidare;Ja;4;12;2;;2013-06-01
man;35;35-39;30-39;Ledning;100;0;41225;Tillsvidare;Ja;4;12;2;;2007-01-01
kvinna;39;35-39;30-39;Ledning;100;0;41055;Tidsbegränsad;Ja;3;12;2;;2014-06-24
kvinna;37;35-39;30-39;Ledning;100;100;39015;Tidsbegränsad;Ja;3;12;2;;2013-04-01
kvinna;36;35-39;30-39;Ledning;100;6;38505;Tidsbegränsad;Ja;3;12;2;;2010-04-01
kvinna;34;30-34;30-39;Ledning;100;97;36210;Tidsbegränsad;Ja;3;12;2;;2016-04-19
kvinna;33;30-34;30-39;Ledning;100;19;37060;Tidsbegränsad;Ja;3;12;2;;2015-09-15
kvinna;63;60-64;60-;Administration;100;40;44370;Tillsvidare;Ja;5;22;2;;1992-06-30
man;42;40-44;40-49;Kommunikation;100;20;29155;Tillsvidare;Nej;3;44;2;;2013-09-10
man;51;50-54;50-59;Ekonomi;100;0;31450;Tillsvidare;Nej;3;46;3;;1996-11-07
man;44;40-44;40-49;Ekonomi;100;0;37910;Tillsvidare;Nej;3;46;3;;2003-04-29
man;41;40-44;40-49;Ekonomi;100;0;31025;Tillsvidare;Nej;3;46;3;;2003-03-01
man;48;45-49;40-49;Ekonomi;100;0;43605;Tillsvidare;Nej;4;46;3;;2007-12-04
kvinna;59;55-59;50-59;Vaktmästeri;100;0;26605;Tillsvidare;Nej;2;46;3;;1998-03-10
kvinna;53;50-54;50-59;Vaktmästeri;100;0;60350;Tillsvidare;Ja;5;47;3;Ja;2000-10-06
kvinna;48;45-49;40-49;Vaktmästeri;100;0;33065;Tillsvidare;Ja;3;47;3;;1993-09-21
man;47;45-49;40-49;Vaktmästeri;100;0;37995;Tillsvidare;Ja;3;47;3;;2008-11-30
kvinna;41;40-44;40-49;Vaktmästeri;100;2;28220;Tillsvidare;Nej;3;47;3;;2013-09-05
kvinna;37;35-39;30-39;Vaktmästeri;100;10;38505;Tillsvidare;Ja;3;47;3;;2015-05-12
kvinna;32;30-34;30-39;Vaktmästeri;100;0;29835;Tillsvidare;Ja;3;47;3;;2015-06-01
kvinna;55;55-59;50-59;Vaktmästeri;100;0;37400;Tillsvidare;Ja;3;47;3;;1988-07-05
kvinna;37;35-39;30-39;Vaktmästeri;100;0;40715;Tillsvidare;Ja;4;47;3;;2014-01-01
kvinna;50;50-54;50-59;Ekonomi;100;0;32300;Tillsvidare;Nej;3;48;3;;1997-07-01
kvinna;52;50-54;50-59;Vaktmästeri;100;37;59925;Tillsvidare;Ja;5;48;3;Ja;2002-12-03
kvinna;51;50-54;50-59;Vaktmästeri;100;0;36550;Tillsvidare;Ja;3;48;3;;2000-05-09
kvinna;53;50-54;50-59;Vaktmästeri;100;0;41820;Tillsvidare;Nej;4;48;3;;1998-12-01
kvinna;51;50-54;50-59;Vaktmästeri;100;50;24310;Tillsvidare;Nej;2;48;3;;2000-07-11
kvinna;51;50-54;50-59;Kommunikation;100;0;60690;Tillsvidare;Ja;5;49;3;Ja;2009-08-04
kvinna;57;55-59;50-59;Kommunikation;100;0;33915;Tillsvidare;Nej;3;49;3;;2010-05-01
kvinna;50;50-54;50-59;Kommunikation;100;25;27030;Tillsvidare;Nej;3;49;3;;1996-08-14
kvinna;39;35-39;30-39;Kommunikation;100;76;34085;Tillsvidare;Nej;3;49;3;;2013-08-06
man;27;25-29;-29;Kommunikation;100;0;26350;Tillsvidare;Nej;3;49;3;;2016-08-09
kvinna;50;50-54;50-59;Kommunikation;100;25;38420;Tillsvidare;Ja;4;49;3;;1998-02-10
kvinna;49;45-49;40-49;Kommunikation;100;0;36465;Tillsvidare;Ja;4;49;3;;2001-10-09
kvinna;43;40-44;40-49;Kommunikation;100;0;37315;Tillsvidare;Ja;4;49;3;;2003-03-04
kvinna;40;40-44;40-49;Logistik;100;0;22525;Tidsbegränsad;Nej;1;53;4;;2015-08-04
kvinna;51;50-54;50-59;Logistik;100;44;24225;Tillsvidare;Nej;1;53;4;;2013-12-10
kvinna;33;30-34;30-39;Logistik;100;0;27625;Tillsvidare;Nej;1;53;4;;2016-11-22
man;32;30-34;30-39;Logistik;100;0;27625;Tidsbegränsad;Nej;1;53;4;;2016-11-30
kvinna;51;50-54;50-59;Logistik;100;0;27455;Tillsvidare;Nej;2;53;4;;2002-08-13
kvinna;64;60-64;60-;Ekonomi;100;6;25245;Tillsvidare;Nej;1;53;4;;1990-03-01
kvinna;48;45-49;40-49;Ekonomi;100;0;26010;Tillsvidare;Nej;2;53;4;;2015-01-07
kvinna;41;40-44;40-49;Marknad;100;0;22950;Tillsvidare;Nej;1;53;4;;2016-08-31
kvinna;45;45-49;40-49;Marknad;100;6;29665;Tillsvidare;Nej;2;53;4;;2013-01-31
kvinna;41;40-44;40-49;Produktion;100;0;26775;Tillsvidare;Nej;1;53;4;;2017-03-29
kvinna;40;40-44;40-49;Produktion;100;0;24905;Tillsvidare;Nej;1;53;4;;2016-08-16
kvinna;59;55-59;50-59;Produktion;100;0;25245;Tillsvidare;Nej;2;53;4;;1978-04-12
kvinna;48;45-49;40-49;Produktion;100;75;24650;Tillsvidare;Nej;2;53;4;;1990-03-01
kvinna;60;60-64;60-;Lager;100;0;26350;Tillsvidare;Nej;1;53;4;;1985-11-01
kvinna;54;50-54;50-59;Lager;100;0;24055;Tillsvidare;Nej;1;53;4;;1981-02-03
kvinna;57;55-59;50-59;Lager;100;100;18275;Tillsvidare;Nej;1;53;4;;1978-08-29
kvinna;56;55-59;50-59;Lager;100;0;31450;Tillsvidare;Nej;2;53;4;;1997-10-01
kvinna;47;45-49;40-49;Lager;100;0;26435;Tillsvidare;Nej;2;53;4;;2004-05-04
kvinna;47;45-49;40-49;Lager;100;0;26520;Tillsvidare;Nej;2;53;4;;1999-03-01
kvinna;40;40-44;40-49;Administration;100;0;21080;Tillsvidare;Nej;1;53;4;;2013-10-15
kvinna;64;60-64;60-;Administration;100;19;22908;Tillsvidare;Nej;1;53;4;;2013-01-08
kvinna;49;45-49;40-49;Administration;100;0;27710;Tillsvidare;Nej;2;53;4;;1999-09-21
kvinna;65;65-;60-;Administration;100;0;25245;Tillsvidare;Nej;2;53;4;;1976-03-16
kvinna;65;65-;60-;Administration;100;0;27030;Tillsvidare;Nej;2;53;4;;1995-10-01
kvinna;56;55-59;50-59;Ledning;100;25;31790;Tillsvidare;Ja;3;53;4;;1988-01-19
kvinna;55;55-59;50-59;Ledning;100;0;27455;Tillsvidare;Nej;2;53;4;;1986-10-07
kvinna;52;50-54;50-59;Ledning;100;10;26520;Tillsvidare;Nej;2;53;4;;2013-01-08
kvinna;52;50-54;50-59;Ledning;100;50;19805;Tillsvidare;Nej;2;53;4;;1999-09-15
man;50;50-54;50-59;Ledning;100;0;24140;Tillsvidare;Nej;2;53;4;;2002-04-05
kvinna;51;50-54;50-59;Kommunikation;100;0;27285;Tillsvidare;Nej;2;53;4;;2003-08-01
man;53;50-54;50-59;Vaktmästeri;100;75;25840;Tillsvidare;Nej;3;53;4;;1997-08-26
kvinna;39;35-39;30-39;Vaktmästeri;100;3;27200;Tillsvidare;Nej;2;53;4;;2014-12-05
kvinna;59;55-59;50-59;Vaktmästeri;100;0;28050;Tillsvidare;Nej;2;53;4;;2006-04-04
kvinna;48;45-49;40-49;Vaktmästeri;100;100;26010;Tillsvidare;Nej;2;53;4;;2006-03-01
man;48;45-49;40-49;Vaktmästeri;100;0;29240;Tillsvidare;Nej;3;72;4;;1997-11-04
kvinna;28;25-29;-29;Logistik;100;100;19720;Tillsvidare;Nej;1;80;5;;2010-12-01
man;48;45-49;40-49;Logistik;100;100;52445;Tillsvidare;Ja;5;80;5;;2005-03-01
man;45;45-49;40-49;Logistik;100;100;28305;Tillsvidare;Nej;3;80;5;;1999-11-23
kvinna;32;30-34;30-39;Logistik;100;100;36550;Tillsvidare;Nej;3;80;5;;2013-11-12
man;37;35-39;30-39;Logistik;100;100;48110;Tillsvidare;Ja;3;80;5;;2005-06-21
kvinna;33;30-34;30-39;Logistik;100;100;35105;Tillsvidare;Ja;3;80;5;;2013-01-10
kvinna;41;40-44;40-49;Logistik;100;100;38590;Tillsvidare;Ja;3;80;5;;2011-08-09
man;32;30-34;30-39;Logistik;100;0;23800;Tidsbegränsad;Nej;3;80;5;;2017-01-19
kvinna;53;50-54;50-59;Logistik;100;100;26265;Tillsvidare;Nej;2;80;5;;1983-06-21
man;67;65-;60-;Ekonomi;100;88;58650;Tillsvidare;Ja;5;80;5;;1985-03-15
man;26;25-29;-29;Ekonomi;100;0;26350;Tillsvidare;Nej;3;80;5;;2016-06-14
kvinna;46;45-49;40-49;Marknad;100;100;42585;Tillsvidare;Nej;3;80;5;;2009-10-06
man;58;55-59;50-59;Produktion;100;100;51170;Tillsvidare;Ja;5;80;5;;1994-05-01
man;32;30-34;30-39;Produktion;100;100;28730;Tillsvidare;Nej;3;80;5;;2012-07-03
man;36;35-39;30-39;Produktion;100;0;39100;Tillsvidare;Ja;4;80;5;;2008-07-15
kvinna;40;40-44;40-49;Produktion;100;100;45645;Tillsvidare;Ja;5;80;5;;2002-01-10
man;48;45-49;40-49;Produktion;100;100;47005;Tillsvidare;Ja;5;80;5;;1999-08-31
man;67;65-;60-;Lager;100;100;40630;Tillsvidare;Ja;5;80;5;;1982-03-23
man;42;40-44;40-49;Lager;100;100;34425;Tillsvidare;Nej;4;80;5;;2003-11-04
man;40;40-44;40-49;Administration;100;100;29325;Tillsvidare;Nej;3;80;5;;2007-09-01
kvinna;52;50-54;50-59;Administration;100;100;39440;Tillsvidare;Ja;4;80;5;;2003-08-05
kvinna;63;60-64;60-;Administration;100;0;24310;Tillsvidare;Ja;2;80;5;;1989-11-01
man;45;45-49;40-49;Administration;100;100;46155;Tillsvidare;Ja;5;80;5;;2008-11-30
